c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	rass_name1	rass_name2	rass_ra	rass_dec	rass_pos_err	rass_l	rass_b	rass_ML	rass_counts	rass_counts_err	rass_count_rate	rass_count_rate_err	rass_exp_time	rass_hardness_ratio	rass_HR2	rass_HR3	rass_HR4
1	0.52	28.3	0.2939	0.1089	3.0991	1.32E-13	4.05E-14	4.50E-13	9.43E-14	0	0	0	0	0	0	0	330.422675	-56.773351	3.27	5652	20.9	22	3918.4	3917.3	10.49	2.44	2RXS	J220138.0-564630	330.40872	-56.77525	11.74	-47.83851	-41.29014	35.1	31.67	6.630564	0.0776	0.0162	408.31	0.106	0.21	-0.004	0.236
1	1.28	39.1	0.5011	0.0617	4.8961	9.38E-13	7.50E-14	1.87E-12	1.75E-13	0.697	0.0859	2.7789	2.18E-13	1.74E-14	3.13E-13	2.93E-14	330.812023	-56.772787	12.5	5652	177.7	261.6	4676	4705.3	2.75	2.4	2RXS	J220318.0-564651	330.8252	-56.78089	5.59	-48.03976	-41.40048	245.67	134.73	12.6209	0.3257	0.0305	413.72	-0.839	0.045	-0.206	0.294
1	1.63	122.5	1.1089	0.4466	0.2508	2.45E-13	8.26E-14	2.21E-13	4.84E-14	0.8558	0.3447	0.3974	2.36E-13	7.96E-14	2.75E-13	6.04E-14	96.802938	-56.720692	2.96	6065	12.6	10.7	1602.6	1701.9	30.19	6.24	2RXS	J062659.0-564225	96.74619	-56.70696	17.08	-25.6688	-79.65235	25.42	32.33	7.090341	0.0243	0.0053	1330.31	1	0.186	-0.104	0.144
1	0.76	56.7	0.6613	0.3424	0.7664	1.12E-13	4.03E-14	1.69E-13	6.31E-14	0	0	0	0	0	0	0	330.212292	-56.693145	2.78	5652	15.2	11.2	3380.6	3393.3	17.68	2.47	2RXS	J220044.2-564121	330.18442	-56.68937	15.28	-47.76633	-41.15733	10.3	11.79	4.390543	0.029	0.0108	407.17	0.275	0.318	0.36	0.293
1	1.19	92.6	0.4301	0.2389	1.328	8.32E-14	3.25E-14	1.94E-13	7.64E-14	0	0	0	0	0	0	0	330.713498	-56.613037	2.56	5652	14.7	8	4376.6	4344.9	8.31	2.43	2RXS	J220251.4-563514	330.71454	-56.58732	26.49	-48.07282	-41.20073	6.69	14.05	5.547603	0.0334	0.0132	420.49	9.999	9.999	9.999	9.999
1	0.5	29.7	0.774	0.3707	0.5054	1.50E-13	4.06E-14	1.94E-13	7.64E-14	0	0	0	0	0	0	0	330.729431	-56.586332	3.69	5652	26.4	29.8	4367.9	4319.3	9.87	2.43	2RXS	J220251.4-563514	330.71454	-56.58732	26.49	-48.07282	-41.20073	6.69	14.05	5.547603	0.0334	0.0132	420.49	9.999	9.999	9.999	9.999
1	0.89	29.4	1.7058	0.6648	1.6677	1.17E-12	1.40E-13	6.88E-13	2.55E-13	0	0	0	0	0	0	0	264.398178	-56.575157	8.37	7849	80.7	78.6	2209.2	2221.6	15.2	8.28	2RXS	J173733.8-563404	264.39102	-56.56801	13.48	-13.01498	-33.20054	13.99	10.8	4.006188	0.0702	0.026	153.92	1	0.595	0.028	0.498
1	0.36	15.3	0.7831	0.293	0.6365	2.05E-13	5.08E-14	2.61E-13	7.31E-14	0	0	0	0	0	0	0	330.809219	-56.488347	4.03	5652	26.7	22.9	3238.8	3327.6	15.92	2.44	2RXS	J220313.2-562931	330.80536	-56.49203	9.17	-48.16033	-41.13927	22.75	19.45	5.444886	0.045	0.0126	432.3	-1	0.668	0	0
1	1.43	59.7	0.2338	0.0568	6.2011	3.23E-13	6.94E-14	1.38E-12	1.56E-13	0.2596	0.063	5.8802	2.97E-13	6.40E-14	1.15E-12	1.29E-13	331.468718	-56.466838	4.65	5652	29.1	30.2	2223.9	2424.2	29.51	2.39	2RXS	J220559.0-562824	331.49615	-56.4736	8.18	-48.50848	-41.29962	147.88	95.5	10.77925	0.2406	0.0272	396.84	-0.084	0.086	0.231	0.119
1	2.53	200.9	0.1047	0.0556	2.4846	8.17E-14	3.20E-14	7.80E-13	2.79E-13	0	0	0	0	0	0	0	261.325807	-56.435584	2.55	3130	16.5	15	6579.2	6327.1	3.56	11.44	2RXS	J172517.5-562247	261.32327	-56.37979	31.24	-11.46776	-33.11275	11.1	11.98	4.288775	0.0753	0.027	159.04	0.626	0.437	1	0.34
1	1.57	68	0.5431	0.205	1.2557	4.24E-13	5.08E-14	7.80E-13	2.79E-13	0	0	0	0	0	0	0	261.357133	-56.382098	8.35	3130	92.2	111.3	7085.9	6968.9	0.38	11.47	2RXS	J172517.5-562247	261.32327	-56.37979	31.24	-11.46776	-33.11275	11.1	11.98	4.288775	0.0753	0.027	159.04	0.626	0.437	1	0.34
1	1.18	55.7	0.7897	0.3321	0.5307	1.36E-13	3.13E-14	1.72E-13	6.07E-14	0	0	0	0	0	0	0	61.636215	-56.305395	4.35	7030	31.7	44.1	5934.6	5571.3	29.76	2.66	2RXS	J040626.1-561832	61.60909	-56.30899	23.12	-44.82221	-73.23505	9.04	15.93	5.609316	0.0282	0.0099	564.7	-0.164	0.223	0.622	0.338
1	0.48	19.9	0.238	0.0591	4.7336	3.43E-13	6.66E-14	1.44E-12	2.22E-13	0.3142	0.078	4.1354	5.19E-14	1.01E-14	1.65E-13	2.55E-14	24.955876	-56.197937	5.14	4935	32.9	45.2	2342.1	2261.3	29.71	2.31	2RXS	J013947.2-561144	24.94683	-56.19566	7.49	-59.663	-58.83901	99.83	47.46	7.316641	0.2562	0.0395	185.22	-0.908	0.081	0.868	0.947
1	0.45	20.1	0.8499	0.308	0.443	1.64E-13	3.99E-14	1.93E-13	5.19E-14	0	0	0	0	0	0	0	96.779534	-56.126523	4.11	4676	32.3	25.4	6205	6016.8	31.38	6.89	2RXS	J062704.7-560730	96.76978	-56.12523	18.74	-25.54412	-79.08636	16.52	27.55	7.398953	0.0206	0.0055	1334.57	0.588	0.214	0.459	0.181
