#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	[""]	[meta.id]
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	flux_aper_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_lolim_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_hilim_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_s)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_lolim_s)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_hilim_s)	["erg/s/cm^2"]	[]
usrid	separation	name	ra	dec	flux_aper_m	flux_aper_lolim_m	flux_aper_hilim_m	flux_aper_s	flux_aper_lolim_s	flux_aper_hilim_s
    615	    18.26	 2CXO J100516.4-074258	 10 05 16.46	-07 42 58.86	3.381e-17	9.508e-18	5.810e-17	7.636e-17	3.729e-17	1.154e-16
    615	    20.08	 2CXO J100515.6-074257	 10 05 15.67	-07 42 57.59	9.244e-17	6.471e-17	1.202e-16	1.348e-16	1.000e-16	1.695e-16
    615	    20.31	 2CXO J100516.4-074256	 10 05 16.42	-07 42 56.61	7.027e-17	3.039e-17	1.082e-16	1.179e-16	6.522e-17	1.706e-16
    615	    21.61	 2CXO J100514.6-074313	 10 05 14.69	-07 43 13.33	1.427e-15	1.340e-15	1.507e-15	1.337e-15	1.250e-15	1.424e-15
    615	    22.27	 2CXO J100516.7-074256	 10 05 16.76	-07 42 56.24	5.415e-17	9.418e-18	9.889e-17	0.000e+00	0.000e+00	3.667e-17
    615	    22.46	 2CXO J100514.7-074307	 10 05 14.74	-07 43 07.60	3.033e-16	2.618e-16	3.419e-16	2.122e-16	1.729e-16	2.515e-16
    615	    23.14	 2CXO J100515.3-074256	 10 05 15.38	-07 42 56.17	5.972e-16	5.338e-16	6.564e-16	8.350e-16	7.574e-16	9.078e-16
    615	    24.18	 2CXO J100514.9-074259	 10 05 14.96	-07 42 59.74	3.251e-17	1.264e-17	5.147e-17	3.397e-17	1.045e-17	5.749e-17
    615	    24.41	 2CXO J100514.4-074318	 10 05 14.49	-07 43 18.54	         	         	         	9.609e-16	8.764e-16	1.041e-15
    615	    24.46	 2CXO J100515.4-074254	 10 05 15.47	-07 42 54.04	9.541e-16	8.628e-16	1.045e-15	1.094e-15	9.915e-16	1.196e-15
    615	    25.25	 2CXO J100514.5-074305	 10 05 14.60	-07 43 05.57	1.631e-16	1.223e-16	2.015e-16	1.957e-16	1.398e-16	2.486e-16
    615	    25.95	 2CXO J100515.6-074251	 10 05 15.64	-07 42 51.54	1.644e-16	1.221e-16	2.068e-16	2.085e-16	1.578e-16	2.565e-16
    615	    26.20	 2CXO J100514.3-074313	 10 05 14.38	-07 43 13.80	3.556e-16	2.957e-16	4.154e-16	4.452e-16	3.708e-16	5.197e-16
    615	    27.37	 2CXO J100514.2-074315	 10 05 14.29	-07 43 15.41	3.097e-16	2.670e-16	3.495e-16	2.184e-16	1.794e-16	2.548e-16
    615	    27.99	 2CXO J100515.1-074252	 10 05 15.15	-07 42 52.52	8.802e-16	8.130e-16	9.474e-16	7.758e-16	7.115e-16	8.400e-16
    615	    28.31	 2CXO J100514.2-074309	 10 05 14.29	-07 43 09.35	7.444e-16	6.452e-16	8.370e-16	9.404e-16	8.236e-16	1.057e-15
    615	    28.51	 2CXO J100514.2-074311	 10 05 14.24	-07 43 11.26	2.225e-16	1.647e-16	2.774e-16	2.377e-16	1.643e-16	3.111e-16
    615	    29.42	 2CXO J100514.8-074254	 10 05 14.82	-07 42 54.42	3.501e-16	3.059e-16	3.914e-16	3.271e-16	2.806e-16	3.703e-16
    615	    29.65	 2CXO J100514.5-074257	 10 05 14.58	-07 42 57.81	1.002e-15	9.170e-16	1.087e-15	1.161e-15	1.064e-15	1.251e-15
    615	    29.96	 2CXO J100514.3-074301	 10 05 14.37	-07 43 01.99	6.874e-17	1.146e-17	1.260e-16	0.000e+00	0.000e+00	8.907e-17
    615	    30.65	 2CXO J100514.2-074303	 10 05 14.25	-07 43 03.77	1.214e-15	1.012e-15	1.415e-15	1.213e-15	9.995e-16	1.415e-15
    615	    30.69	 2CXO J100514.8-074252	 10 05 14.88	-07 42 52.03	4.360e-16	3.659e-16	5.018e-16	5.596e-16	4.843e-16	6.299e-16
    615	    31.02	 2CXO J100514.3-074333	 10 05 14.40	-07 43 33.77	7.572e-17	4.157e-17	1.099e-16	5.238e-17	2.226e-17	8.118e-17
    615	    31.16	 2CXO J100514.3-074300	 10 05 14.33	-07 43 00.46	1.398e-17	0.000e+00	3.240e-17	0.000e+00	0.000e+00	1.069e-16
    615	    31.19	 2CXO J100514.0-074317	 10 05 14.03	-07 43 17.18	4.087e-16	3.327e-16	4.847e-16	5.035e-16	4.114e-16	5.956e-16
    615	    31.26	 2CXO J100515.9-074245	 10 05 15.99	-07 42 45.27	1.186e-16	7.760e-17	1.595e-16	1.380e-16	9.201e-17	1.816e-16
    615	    31.68	 2CXO J100514.2-074301	 10 05 14.26	-07 43 01.32	0.000e+00	0.000e+00	4.300e-17	2.130e-16	6.726e-17	3.587e-16
    615	    31.85	 2CXO J100514.0-074307	 10 05 14.07	-07 43 07.95	7.912e-16	6.804e-16	8.946e-16	1.224e-15	1.081e-15	1.357e-15
    615	    32.28	 2CXO J100514.0-074305	 10 05 14.09	-07 43 05.48	1.115e-16	7.433e-17	1.487e-16	4.046e-16	3.332e-16	4.713e-16
    615	    32.48	 2CXO J100514.0-074306	 10 05 14.04	-07 43 06.81	2.514e-16	1.718e-16	3.311e-16	5.716e-16	4.544e-16	6.816e-16
    615	    32.52	 2CXO J100514.0-074326	 10 05 14.04	-07 43 26.06	4.175e-17	1.719e-17	6.509e-17	0.000e+00	0.000e+00	1.855e-17
    615	    33.33	 2CXO J100513.9-074312	 10 05 13.90	-07 43 12.74	4.582e-16	3.749e-16	5.363e-16	7.105e-16	6.017e-16	8.192e-16
    615	    33.63	 2CXO J100513.9-074308	 10 05 13.93	-07 43 08.45	3.375e-16	2.700e-16	4.007e-16	7.314e-16	6.310e-16	8.250e-16
    615	    33.68	2CXO J100513.9-074306A	 10 05 13.98	-07 43 06.06	1.064e-15	9.586e-16	1.163e-15	1.501e-15	1.370e-15	1.632e-15
    615	    34.05	 2CXO J100513.9-074306	 10 05 13.93	-07 43 06.96	1.669e-15	1.513e-15	1.815e-15	2.278e-15	2.093e-15	2.463e-15
    615	    34.20	2CXO J100513.9-074307X	 10 05 13.90	-07 43 07.87	         	         	         	         	         	         
    615	    34.37	 2CXO J100514.2-074256	 10 05 14.24	-07 42 56.66	8.084e-16	7.406e-16	8.762e-16	7.755e-16	7.022e-16	8.440e-16
    615	    34.56	 2CXO J100514.6-074343	 10 05 14.66	-07 43 43.23	         	         	         	         	         	         
    615	    34.75	 2CXO J100513.8-074311	 10 05 13.82	-07 43 11.57	8.829e-16	7.903e-16	9.754e-16	8.875e-16	7.875e-16	9.874e-16
    615	    34.77	 2CXO J100513.8-074308	 10 05 13.85	-07 43 08.88	1.618e-16	1.088e-16	2.149e-16	4.177e-16	3.331e-16	4.970e-16
    615	    34.94	 2CXO J100513.8-074306	 10 05 13.87	-07 43 06.92	1.734e-15	1.513e-15	1.955e-15	2.923e-15	2.621e-15	3.224e-15
    615	    35.12	 2CXO J100513.9-074303	 10 05 13.92	-07 43 03.90	3.540e-16	2.996e-16	4.085e-16	5.037e-16	4.321e-16	5.706e-16
    615	    35.16	 2CXO J100513.8-074309	 10 05 13.81	-07 43 09.52	3.487e-16	2.945e-16	4.030e-16	3.083e-16	2.459e-16	3.669e-16
    615	    35.16	 2CXO J100514.7-074248	 10 05 14.74	-07 42 48.03	         	         	         	1.337e-16	1.012e-16	1.642e-16
    615	    35.31	 2CXO J100514.4-074250	 10 05 14.49	-07 42 50.99	         	         	         	2.120e-16	1.675e-16	2.539e-16
    615	    35.37	 2CXO J100514.8-074246	 10 05 14.83	-07 42 46.89	3.364e-17	1.785e-17	4.875e-17	2.431e-17	9.486e-18	3.853e-17
    615	    35.68	 2CXO J100513.8-074304	 10 05 13.86	-07 43 04.70	9.184e-16	8.130e-16	1.018e-15	7.934e-16	6.839e-16	9.029e-16
    615	    35.74	 2CXO J100514.1-074257	 10 05 14.10	-07 42 57.22	2.383e-15	2.213e-15	2.554e-15	1.831e-15	1.681e-15	1.982e-15
    615	    36.09	 2CXO J100513.7-074307	 10 05 13.77	-07 43 07.92	1.341e-15	1.212e-15	1.471e-15	1.504e-15	1.352e-15	1.647e-15
    615	    36.36	 2CXO J100513.6-074312	 10 05 13.70	-07 43 12.61	7.700e-17	4.848e-17	1.041e-16	1.717e-16	1.338e-16	2.096e-16
    615	    36.51	 2CXO J100513.7-074306	 10 05 13.77	-07 43 06.52	5.344e-16	4.530e-16	6.100e-16	6.847e-16	5.876e-16	7.754e-16
    615	    36.86	 2CXO J100513.7-074305	 10 05 13.76	-07 43 05.61	1.957e-16	1.118e-16	2.796e-16	1.465e-16	5.930e-17	2.302e-16
    615	    36.93	 2CXO J100518.2-074258	 10 05 18.29	-07 42 58.18	9.749e-17	7.025e-17	1.233e-16	2.476e-16	2.018e-16	2.906e-16
    615	    36.95	 2CXO J100513.6-074313	 10 05 13.65	-07 43 13.25	4.151e-16	3.421e-16	4.835e-16	4.410e-16	3.562e-16	5.258e-16
    615	    36.99	 2CXO J100514.4-074249	 10 05 14.43	-07 42 49.49	5.724e-16	5.180e-16	6.231e-16	6.343e-16	5.757e-16	6.889e-16
    615	    38.22	 2CXO J100513.7-074300	 10 05 13.78	-07 43 00.81	2.717e-15	2.548e-15	2.876e-15	3.311e-15	3.122e-15	3.500e-15
    615	    38.36	 2CXO J100514.1-074251	 10 05 14.15	-07 42 51.90	8.951e-17	4.571e-17	1.314e-16	2.862e-17	0.000e+00	5.867e-17
    615	    38.43	 2CXO J100516.5-074238	 10 05 16.56	-07 42 38.58	2.910e-16	2.432e-16	3.388e-16	4.210e-16	3.635e-16	4.785e-16
    615	    38.79	 2CXO J100514.5-074245	 10 05 14.59	-07 42 45.19	         	         	         	         	         	         
    615	    38.82	 2CXO J100517.0-074352	 10 05 17.07	-07 43 52.70	0.000e+00	0.000e+00	3.829e-17	1.390e-17	0.000e+00	3.112e-17
    615	    38.87	2CXO J100513.5-074309A	 10 05 13.56	-07 43 09.58	1.083e-16	4.024e-17	1.733e-16	2.603e-16	1.644e-16	3.517e-16
    615	    39.74	 2CXO J100517.2-074352	 10 05 17.27	-07 43 52.41	         	         	         	2.138e-15	1.982e-15	2.284e-15
    615	    39.75	 2CXO J100513.5-074309	 10 05 13.50	-07 43 09.27	4.351e-16	3.363e-16	5.291e-16	4.535e-16	3.372e-16	5.640e-16
    615	    40.10	 2CXO J100513.4-074318	 10 05 13.44	-07 43 18.10	6.048e-17	3.519e-17	8.577e-17	3.299e-17	1.164e-17	5.434e-17
    615	    40.10	 2CXO J100516.1-074356	 10 05 16.15	-07 43 56.57	5.140e-17	2.361e-17	7.918e-17	0.000e+00	0.000e+00	1.300e-17
    615	    41.23	 2CXO J100517.1-074354	 10 05 17.18	-07 43 54.64	         	         	         	1.260e-16	8.823e-17	1.620e-16
    615	    41.28	 2CXO J100513.3-074319	 10 05 13.36	-07 43 19.57	1.612e-16	1.274e-16	1.951e-16	1.760e-16	1.372e-16	2.149e-16
    615	    41.38	 2CXO J100516.2-074235	 10 05 16.27	-07 42 35.13	5.963e-16	5.236e-16	6.690e-16	8.517e-16	7.614e-16	9.420e-16
    615	    41.39	 2CXO J100513.4-074329	 10 05 13.49	-07 43 29.81	0.000e+00	0.000e+00	4.354e-17	0.000e+00	0.000e+00	6.176e-17
    615	    41.52	 2CXO J100513.4-074307	 10 05 13.40	-07 43 07.66	7.511e-16	6.843e-16	8.135e-16	6.801e-16	6.138e-16	7.420e-16
    615	    41.56	 2CXO J100513.3-074309	 10 05 13.38	-07 43 09.22	3.424e-16	2.872e-16	3.976e-16	2.778e-16	2.247e-16	3.277e-16
    615	    41.64	 2CXO J100513.3-074315	 10 05 13.33	-07 43 15.88	2.641e-16	2.193e-16	3.061e-16	3.799e-16	3.235e-16	4.362e-16
    615	    41.67	 2CXO J100513.3-074311	 10 05 13.34	-07 43 11.97	6.752e-16	2.532e-16	1.080e-15	1.171e-15	7.317e-16	1.589e-15
    615	    41.85	 2CXO J100513.8-074251	 10 05 13.85	-07 42 51.90	1.431e-16	9.969e-17	1.840e-16	1.661e-16	1.138e-16	2.154e-16
    615	    42.71	 2CXO J100513.2-074322	 10 05 13.28	-07 43 22.07	1.593e-16	1.254e-16	1.931e-16	5.465e-17	2.732e-17	8.078e-17
    615	    42.81	 2CXO J100513.2-074312	 10 05 13.27	-07 43 12.00	1.315e-15	7.735e-16	1.831e-15	2.939e-16	2.799e-17	5.597e-16
    615	    44.64	 2CXO J100513.2-074304	 10 05 13.23	-07 43 04.94	6.407e-17	1.747e-17	1.107e-16	0.000e+00	0.000e+00	2.687e-17
    615	    44.81	 2CXO J100513.2-074305	 10 05 13.21	-07 43 05.52	4.033e-17	6.954e-18	7.232e-17	         	         	         
    615	    45.20	 2CXO J100515.4-074232	 10 05 15.48	-07 42 32.30	         	         	         	1.541e-16	1.216e-16	1.866e-16
    615	    45.63	 2CXO J100515.3-074400	 10 05 15.32	-07 44 00.47	         	         	         	         	         	         
    615	    45.70	 2CXO J100513.3-074336	 10 05 13.38	-07 43 36.97	         	         	         	2.342e-15	2.204e-15	2.471e-15
    615	    46.09	 2CXO J100513.7-074246	 10 05 13.78	-07 42 46.35	7.727e-16	6.768e-16	8.622e-16	5.308e-16	4.482e-16	6.134e-16
    615	    46.09	 2CXO J100513.1-074304	 10 05 13.14	-07 43 04.46	         	         	         	5.614e-16	4.817e-16	6.412e-16
    615	    46.69	 2CXO J100518.3-074243	 10 05 18.36	-07 42 43.55	         	         	         	         	         	         
    615	    46.71	 2CXO J100516.4-074230	 10 05 16.50	-07 42 30.07	1.854e-15	1.737e-15	1.971e-15	1.662e-15	1.556e-15	1.768e-15
    615	    47.06	 2CXO J100513.1-074259	 10 05 13.17	-07 42 59.66	0.000e+00	0.000e+00	9.576e-18	0.000e+00	0.000e+00	2.402e-17
    615	    47.26	 2CXO J100513.0-074329	 10 05 13.07	-07 43 29.44	4.511e-17	2.148e-17	6.874e-17	6.851e-17	3.635e-17	9.927e-17
    615	    48.39	 2CXO J100519.2-074301	 10 05 19.22	-07 43 01.09	         	         	         	         	         	         
    615	    48.53	 2CXO J100512.8-074310	 10 05 12.89	-07 43 10.95	2.846e-16	2.204e-16	3.487e-16	1.312e-16	8.199e-17	1.804e-16
    615	    49.27	 2CXO J100517.9-074357	 10 05 18.00	-07 43 57.16	3.508e-17	7.517e-18	6.139e-17	3.083e-17	1.541e-18	5.857e-17
    615	    50.32	 2CXO J100513.0-074338	 10 05 13.07	-07 43 38.02	4.898e-16	4.241e-16	5.517e-16	3.364e-16	2.810e-16	3.917e-16
    615	    50.92	 2CXO J100512.7-074320	 10 05 12.71	-07 43 20.21	5.796e-17	1.449e-17	1.014e-16	4.884e-17	3.907e-18	9.377e-17
    615	    51.06	 2CXO J100512.7-074324	 10 05 12.74	-07 43 24.53	0.000e+00	0.000e+00	1.881e-17	1.189e-16	6.510e-17	1.698e-16
    615	    51.28	 2CXO J100512.9-074258	 10 05 12.91	-07 42 58.13	6.727e-17	4.892e-17	8.562e-17	8.387e-17	6.111e-17	1.054e-16
    615	    51.54	 2CXO J100514.2-074233	 10 05 14.26	-07 42 33.06	4.158e-16	3.621e-16	4.695e-16	8.181e-16	7.408e-16	8.954e-16
    615	    52.42	 2CXO J100512.9-074339	 10 05 12.97	-07 43 39.68	1.349e-16	9.303e-17	1.744e-16	2.234e-16	1.658e-16	2.809e-16
    615	    52.52	 2CXO J100513.1-074248	 10 05 13.13	-07 42 48.73	         	         	         	7.660e-16	6.893e-16	8.372e-16
    615	    52.81	 2CXO J100512.6-074324	 10 05 12.62	-07 43 24.14	1.043e-16	7.891e-17	1.296e-16	4.246e-17	2.069e-17	6.423e-17
    615	    54.01	 2CXO J100512.8-074339	 10 05 12.86	-07 43 39.86	6.320e-17	2.873e-17	9.623e-17	1.308e-16	7.356e-17	1.880e-16
    615	    54.05	 2CXO J100518.6-074238	 10 05 18.69	-07 42 38.03	3.765e-16	3.333e-16	4.169e-16	5.024e-16	4.500e-16	5.513e-16
    615	    55.09	 2CXO J100512.9-074344	 10 05 12.94	-07 43 44.40	         	         	         	         	         	         
    615	    55.50	 2CXO J100519.7-074330	 10 05 19.75	-07 43 30.20	6.554e-17	3.344e-17	9.764e-17	4.880e-17	2.033e-17	7.726e-17
    615	    57.15	2CXO J100512.3-074328A	 10 05 12.37	-07 43 28.31	         	         	         	         	         	         
    615	    57.86	 2CXO J100512.3-074328	 10 05 12.32	-07 43 28.21	         	         	         	         	         	         
    615	    58.32	 2CXO J100513.1-074238	 10 05 13.15	-07 42 38.50	1.845e-14	1.797e-14	1.893e-14	1.965e-14	1.912e-14	2.015e-14
    615	    59.07	 2CXO J100515.6-074415	 10 05 15.65	-07 44 15.10	5.688e-17	3.500e-17	7.875e-17	2.072e-17	5.024e-18	3.643e-17
    615	    60.15	 2CXO J100512.7-074348	 10 05 12.71	-07 43 48.52	         	         	         	0.000e+00	0.000e+00	4.010e-17
    615	    60.20	 2CXO J100518.2-074407	 10 05 18.25	-07 44 07.74	2.127e-16	1.802e-16	2.452e-16	1.694e-16	1.372e-16	1.997e-16
    615	    60.28	 2CXO J100513.8-074226	 10 05 13.90	-07 42 26.13	         	         	         	         	         	         
    615	    60.98	 2CXO J100517.1-074217	 10 05 17.17	-07 42 17.50	2.002e-16	1.582e-16	2.422e-16	5.992e-16	5.142e-16	6.842e-16
    615	    62.07	 2CXO J100511.9-074312	 10 05 11.96	-07 43 12.75	4.120e-17	1.670e-17	6.459e-17	9.206e-17	5.562e-17	1.266e-16
    615	    62.23	 2CXO J100515.8-074214	 10 05 15.85	-07 42 14.37	3.353e-16	2.691e-16	4.016e-16	3.990e-16	3.239e-16	4.740e-16
    615	    63.77	 2CXO J100520.4-074317	 10 05 20.42	-07 43 17.39	0.000e+00	0.000e+00	1.660e-17	0.000e+00	0.000e+00	1.275e-17
    615	    66.85	 2CXO J100511.8-074258	 10 05 11.80	-07 42 58.35	0.000e+00	0.000e+00	1.440e-17	0.000e+00	0.000e+00	1.615e-17
    615	    67.07	 2CXO J100511.7-074333	 10 05 11.77	-07 43 33.72	7.200e-17	4.713e-17	9.687e-17	7.022e-17	4.268e-17	9.638e-17
    615	    67.14	 2CXO J100513.7-074413	 10 05 13.75	-07 44 13.54	6.067e-17	3.591e-17	8.543e-17	9.549e-17	6.518e-17	1.243e-16
    615	    67.19	 2CXO J100511.6-074304	 10 05 11.68	-07 43 04.47	         	         	         	0.000e+00	0.000e+00	2.948e-17
    615	    69.36	 2CXO J100516.5-074207	 10 05 16.57	-07 42 07.42	4.318e-16	3.775e-16	4.860e-16	5.655e-16	5.028e-16	6.281e-16
    615	    69.45	 2CXO J100513.7-074416	 10 05 13.78	-07 44 16.45	6.586e-16	5.913e-16	7.259e-16	7.100e-16	6.314e-16	7.840e-16
    615	    71.64	 2CXO J100511.3-074315	 10 05 11.31	-07 43 15.15	1.543e-16	1.183e-16	1.884e-16	1.767e-16	1.375e-16	2.138e-16
    615	    73.27	 2CXO J100512.0-074356	 10 05 12.01	-07 43 56.74	5.068e-17	1.689e-17	8.306e-17	1.630e-16	1.069e-16	2.191e-16
    615	    73.69	 2CXO J100513.1-074217	 10 05 13.19	-07 42 17.09	4.452e-16	3.732e-16	5.173e-16	6.321e-16	5.437e-16	7.204e-16
    615	    74.09	 2CXO J100519.8-074406	 10 05 19.80	-07 44 06.60	0.000e+00	0.000e+00	2.196e-17	0.000e+00	0.000e+00	2.811e-17
    615	    75.53	 2CXO J100511.2-074254	 10 05 11.27	-07 42 54.36	1.727e-17	0.000e+00	3.533e-17	3.566e-17	1.057e-17	6.075e-17
    615	    77.33	 2CXO J100519.2-074417	 10 05 19.29	-07 44 17.85	0.000e+00	0.000e+00	1.272e-17	9.710e-17	4.747e-17	1.467e-16
    615	    78.74	 2CXO J100513.5-074207	 10 05 13.59	-07 42 07.37	0.000e+00	0.000e+00	2.620e-17	0.000e+00	0.000e+00	1.645e-17
    615	    79.78	 2CXO J100513.1-074422	 10 05 13.15	-07 44 22.77	6.177e-17	2.763e-17	9.428e-17	0.000e+00	0.000e+00	1.544e-17
    615	    80.11	 2CXO J100516.5-074156	 10 05 16.59	-07 41 56.65	2.553e-17	1.964e-18	4.909e-17	6.368e-17	3.110e-17	9.478e-17
    615	    80.46	 2CXO J100511.1-074346	 10 05 11.11	-07 43 46.50	4.023e-17	1.829e-18	7.681e-17	4.285e-17	4.761e-18	7.935e-17
    615	    83.14	 2CXO J100516.6-074153	 10 05 16.67	-07 41 53.72	1.400e-17	0.000e+00	2.964e-17	0.000e+00	0.000e+00	1.731e-17
    615	    83.15	 2CXO J100510.8-074343	 10 05 10.84	-07 43 43.62	4.327e-17	5.968e-18	8.057e-17	0.000e+00	0.000e+00	5.039e-17
    615	    83.21	 2CXO J100510.5-074319	 10 05 10.54	-07 43 19.13	         	         	         	         	         	         
    615	    85.23	 2CXO J100510.7-074346	 10 05 10.77	-07 43 46.90	4.146e-17	2.439e-18	8.048e-17	6.551e-17	1.638e-17	1.119e-16
    615	    86.75	 2CXO J100521.7-074338	 10 05 21.78	-07 43 38.19	2.510e-16	1.919e-16	3.101e-16	0.000e+00	0.000e+00	1.591e-17
    615	    87.42	 2CXO J100512.0-074212	 10 05 12.10	-07 42 12.81	7.476e-17	4.806e-17	1.015e-16	7.306e-17	4.697e-17	9.785e-17
    615	    89.92	 2CXO J100511.2-074409	 10 05 11.27	-07 44 09.99	8.520e-17	5.001e-17	1.185e-16	1.995e-16	1.482e-16	2.508e-16
    615	    93.28	 2CXO J100515.2-074144	 10 05 15.28	-07 41 44.05	5.580e-17	2.232e-17	8.768e-17	3.051e-17	8.716e-18	5.121e-17
    615	    94.15	 2CXO J100509.7-074313	 10 05 09.80	-07 43 14.00	7.185e-17	2.613e-17	1.176e-16	0.000e+00	0.000e+00	1.020e-17
    615	    95.48	 2CXO J100519.4-074154	 10 05 19.43	-07 41 54.51	1.176e-16	3.360e-17	1.960e-16	1.066e-16	3.279e-17	1.803e-16
    615	    97.55	 2CXO J100510.3-074230	 10 05 10.34	-07 42 30.50	1.351e-17	7.507e-19	2.553e-17	0.000e+00	0.000e+00	1.138e-17
    615	   100.88	 2CXO J100520.0-074153	 10 05 20.03	-07 41 53.90	8.779e-17	5.196e-17	1.236e-16	         	         	         
    615	   101.23	 2CXO J100522.2-074401	 10 05 22.23	-07 44 01.36	3.975e-16	3.517e-16	4.402e-16	3.596e-16	3.125e-16	4.035e-16
    615	   101.82	 2CXO J100512.2-074152	 10 05 12.24	-07 41 52.71	1.131e-15	1.041e-15	1.221e-15	8.337e-16	7.546e-16	9.129e-16
    615	   102.18	 2CXO J100511.1-074206	 10 05 11.15	-07 42 06.05	5.462e-17	3.256e-17	7.668e-17	0.000e+00	0.000e+00	1.080e-17
    615	   103.18	 2CXO J100510.2-074412	 10 05 10.30	-07 44 12.35	9.856e-16	9.085e-16	1.063e-15	9.593e-16	8.829e-16	1.036e-15
    615	   104.53	 2CXO J100518.5-074138	 10 05 18.54	-07 41 38.27	1.864e-15	1.673e-15	2.055e-15	2.643e-15	2.407e-15	2.878e-15
    615	   106.54	 2CXO J100510.2-074215	 10 05 10.25	-07 42 15.46	7.821e-17	4.493e-17	1.115e-16	0.000e+00	0.000e+00	1.435e-17
    615	   106.62	 2CXO J100522.1-074219	 10 05 22.20	-07 42 19.57	1.781e-16	1.244e-16	2.290e-16	4.861e-16	3.788e-16	5.871e-16
    615	   107.29	 2CXO J100512.5-074142	 10 05 12.60	-07 41 42.92	0.000e+00	0.000e+00	2.223e-17	0.000e+00	0.000e+00	5.594e-18
    615	   110.55	 2CXO J100520.1-074143	 10 05 20.17	-07 41 43.63	6.206e-16	5.124e-16	7.289e-16	7.719e-16	6.249e-16	9.097e-16
    615	   110.63	 2CXO J100512.6-074454	 10 05 12.62	-07 44 54.01	0.000e+00	0.000e+00	2.079e-17	5.219e-17	2.088e-17	8.177e-17
    615	   113.39	 2CXO J100509.1-074229	 10 05 09.18	-07 42 29.61	0.000e+00	0.000e+00	1.848e-17	3.486e-17	6.011e-18	6.251e-17
    615	   114.50	 2CXO J100508.4-074307	 10 05 08.45	-07 43 07.04	6.148e-17	3.532e-17	8.634e-17	5.291e-17	2.814e-17	7.655e-17
    615	   114.65	 2CXO J100509.8-074210	 10 05 09.83	-07 42 10.26	         	         	         	         	         	         
    615	   115.20	 2CXO J100512.5-074134	 10 05 12.52	-07 41 34.53	1.684e-16	1.257e-16	2.112e-16	1.019e-16	6.992e-17	1.318e-16
    615	   115.43	 2CXO J100522.2-074204	 10 05 22.21	-07 42 04.63	3.040e-16	2.539e-16	3.508e-16	3.557e-16	2.936e-16	4.136e-16
    615	   117.75	 2CXO J100513.9-074123	 10 05 13.96	-07 41 23.22	6.399e-17	3.839e-17	8.842e-17	5.463e-17	3.106e-17	7.819e-17
    615	   118.97	 2CXO J100520.8-074140	 10 05 20.82	-07 41 40.10	         	         	         	0.000e+00	0.000e+00	2.041e-17
    635	    10.34	 2CXO J053559.2-064952	 05 35 59.26	-06 49 52.51	2.680e-15	2.201e-15	3.159e-15	9.707e-15	8.286e-15	1.104e-14
    635	    38.04	 2CXO J053601.5-065012	 05 36 01.53	-06 50 12.59	5.499e-14	5.205e-14	5.776e-14	1.908e-13	1.825e-13	1.985e-13
    635	    43.23	 2CXO J053601.7-064944	 05 36 01.71	-06 49 44.58	0.000e+00	0.000e+00	6.992e-16	0.000e+00	0.000e+00	1.786e-15
