#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	[""]	[meta.id]
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	flux_aper_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_lolim_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_hilim_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_s)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_lolim_s)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_hilim_s)	["erg/s/cm^2"]	[]
usrid	separation	name	ra	dec	flux_aper_m	flux_aper_lolim_m	flux_aper_hilim_m	flux_aper_s	flux_aper_lolim_s	flux_aper_hilim_s
     27	    27.89	 2CXO J031819.6-663626	 03 18 19.68	-66 36 26.27	0.000e+00	0.000e+00	4.817e-16	0.000e+00	0.000e+00	3.847e-16
     27	    49.44	 2CXO J031810.1-663550	 03 18 10.13	-66 35 50.49	0.000e+00	0.000e+00	4.779e-16	0.000e+00	0.000e+00	2.087e-16
     27	    55.21	 2CXO J031825.2-663636	 03 18 25.24	-66 36 36.16	3.053e-15	2.289e-15	3.778e-15	4.344e-16	1.086e-16	7.602e-16
     27	    64.97	 2CXO J031814.8-663457	 03 18 14.88	-66 34 57.92	6.116e-16	1.529e-16	1.040e-15	0.000e+00	0.000e+00	2.912e-16
     27	    69.85	 2CXO J031829.3-663537	 03 18 29.38	-66 35 37.08	3.465e-16	0.000e+00	6.930e-16	5.519e-15	4.239e-15	6.719e-15
     27	    85.75	 2CXO J031817.9-663433	 03 18 17.98	-66 34 33.91	3.875e-16	1.937e-17	7.556e-16	0.000e+00	0.000e+00	8.253e-16
     27	   109.04	 2CXO J031836.2-663620	 03 18 36.25	-66 36 20.79	8.458e-16	2.030e-16	1.455e-15	         	         	         
     27	   113.14	 2CXO J031759.6-663538	 03 17 59.64	-66 35 38.17	         	         	         	         	         	         
     28	     3.36	 2CXO J031819.9-662910	 03 18 19.97	-66 29 10.96	3.693e-13	3.595e-13	3.792e-13	2.526e-13	2.453e-13	2.598e-13
     28	    17.29	 2CXO J031821.2-662858	 03 18 21.25	-66 28 58.24	9.684e-16	3.228e-16	1.585e-15	7.727e-16	2.243e-16	1.321e-15
     28	    45.24	 2CXO J031823.7-662834	 03 18 23.73	-66 28 34.48	1.832e-15	1.099e-15	2.564e-15	1.333e-15	7.573e-16	1.878e-15
     28	    49.90	 2CXO J031818.8-663001	 03 18 18.90	-66 30 01.45	2.142e-14	1.892e-14	2.377e-14	1.754e-14	1.564e-14	1.944e-14
     28	    52.96	 2CXO J031818.2-663004	 03 18 18.23	-66 30 04.13	2.731e-14	2.524e-14	2.939e-14	1.658e-14	1.506e-14	1.810e-14
     28	    58.67	 2CXO J031829.0-662921	 03 18 29.08	-66 29 21.77	         	         	         	         	         	         
     28	    64.81	 2CXO J031817.4-663015	 03 18 17.43	-66 30 15.36	0.000e+00	0.000e+00	4.684e-16	         	         	         
     28	    67.57	 2CXO J031829.4-662841	 03 18 29.50	-66 28 41.13	6.136e-16	2.045e-16	1.002e-15	1.133e-15	6.322e-16	1.633e-15
     28	    93.43	 2CXO J031804.8-662838	 03 18 04.86	-66 28 38.02	         	         	         	         	         	         
     28	    96.98	 2CXO J031804.2-662836	 03 18 04.30	-66 28 36.84	         	         	         	         	         	         
     28	   104.76	 2CXO J031805.4-663014	 03 18 05.47	-66 30 14.93	1.491e-14	1.311e-14	1.671e-14	5.312e-15	4.378e-15	6.188e-15
     28	   110.33	 2CXO J031806.1-663028	 03 18 06.12	-66 30 28.06	8.205e-16	3.077e-16	1.333e-15	0.000e+00	0.000e+00	3.101e-16
     28	   112.78	 2CXO J031807.9-663041	 03 18 07.95	-66 30 41.13	0.000e+00	0.000e+00	6.302e-16	0.000e+00	0.000e+00	4.114e-16
     28	   116.76	 2CXO J031806.3-663038	 03 18 06.38	-66 30 38.52	2.535e-15	1.674e-15	3.349e-15	2.387e-15	1.646e-15	3.087e-15
     42	    10.61	 2CXO J053315.0-622212	 05 33 15.02	-62 22 12.53	7.246e-14	6.807e-14	7.684e-14	1.946e-13	1.835e-13	2.057e-13
     42	    15.73	2CXO J053315.7-622213X	 05 33 15.75	-62 22 13.80	         	         	         	         	         	         
     42	   101.86	 2CXO J053300.5-622300	 05 33 00.59	-62 23 00.61	0.000e+00	0.000e+00	3.757e-16	0.000e+00	0.000e+00	1.348e-15
     42	   107.08	 2CXO J053319.4-622351	 05 33 19.46	-62 23 51.19	6.970e-16	2.473e-16	1.147e-15	0.000e+00	0.000e+00	3.828e-16
     42	   115.54	 2CXO J053259.4-622314	 05 32 59.49	-62 23 14.66	7.317e-16	2.049e-16	1.229e-15	1.647e-14	5.313e-15	2.710e-14
     62	    12.96	 2CXO J205202.3-570407	 20 52 02.38	-57 04 07.62	2.357e-14	2.158e-14	2.555e-14	1.650e-14	1.496e-14	1.804e-14
     62	    13.54	2CXO J205202.2-570408X	 20 52 02.27	-57 04 08.16	         	         	         	         	         	         
     62	    26.57	 2CXO J205200.6-570417	 20 52 00.61	-57 04 17.53	7.560e-16	3.872e-16	1.106e-15	9.382e-16	5.507e-16	1.305e-15
     62	    49.27	 2CXO J205157.8-570406	 20 51 57.84	-57 04 06.43	5.824e-16	2.569e-16	8.907e-16	2.856e-16	5.950e-17	5.117e-16
     62	    69.18	 2CXO J205157.5-570326	 20 51 57.52	-57 03 26.70	4.113e-16	1.542e-16	6.683e-16	5.638e-16	2.743e-16	8.381e-16
     62	    74.60	 2CXO J205155.3-570344	 20 51 55.37	-57 03 44.51	1.692e-16	0.000e+00	3.285e-16	         	         	         
     62	    79.67	 2CXO J205202.0-570531	 20 52 02.04	-57 05 31.35	         	         	         	4.160e-16	1.783e-16	6.538e-16
     62	    83.48	 2CXO J205204.2-570249	 20 52 04.28	-57 02 49.61	0.000e+00	0.000e+00	2.163e-16	3.611e-16	1.241e-16	5.868e-16
     62	    90.90	 2CXO J205200.1-570247	 20 52 00.13	-57 02 47.25	2.384e-15	1.759e-15	3.010e-15	3.331e-15	2.620e-15	4.005e-15
     62	    98.08	 2CXO J205152.4-570340	 20 51 52.46	-57 03 40.85	3.567e-15	2.751e-15	4.331e-15	2.349e-15	1.786e-15	2.878e-15
     62	   104.83	 2CXO J205156.3-570538	 20 51 56.38	-57 05 38.49	2.461e-15	1.836e-15	3.086e-15	3.655e-15	2.942e-15	4.368e-15
     65	    24.16	 2CXO J220318.5-564627	 22 03 18.57	-56 46 27.43	1.217e-15	7.789e-16	1.631e-15	         	         	         
     69	    15.87	 2CXO J173735.7-563402	 17 37 35.75	-56 34 02.95	1.999e-13	1.923e-13	2.075e-13	1.752e-13	1.682e-13	1.821e-13
     69	    52.37	 2CXO J173739.0-563434	 17 37 39.08	-56 34 34.30	3.033e-16	0.000e+00	5.888e-16	1.294e-15	7.350e-16	1.823e-15
     69	    55.34	 2CXO J173736.1-563456	 17 37 36.14	-56 34 56.83	7.245e-16	2.571e-16	1.168e-15	         	         	         
     69	    74.76	 2CXO J173731.9-563517	 17 37 31.95	-56 35 17.94	3.091e-15	2.115e-15	4.013e-15	5.160e-15	3.928e-15	6.315e-15
     69	    89.02	 2CXO J173723.2-563348	 17 37 23.25	-56 33 48.74	6.003e-16	2.063e-16	9.755e-16	0.000e+00	0.000e+00	3.311e-16
     69	   100.75	 2CXO J173745.8-563348	 17 37 45.88	-56 33 49.00	1.607e-15	9.563e-16	2.257e-15	3.967e-16	8.264e-17	7.107e-16
     69	   105.16	 2CXO J173733.7-563549	 17 37 33.75	-56 35 49.99	1.694e-15	9.124e-16	2.476e-15	7.470e-16	2.801e-16	1.214e-15
     69	   109.56	 2CXO J173738.2-563221	 17 37 38.25	-56 32 21.49	1.635e-15	9.813e-16	2.290e-15	1.348e-15	7.522e-16	1.943e-15
     74	    12.16	 2CXO J065839.1-560813	 06 58 39.20	-56 08 13.93	5.758e-14	5.511e-14	6.005e-14	1.551e-13	1.493e-13	1.610e-13
     74	    22.35	 2CXO J065838.5-560749	 06 58 38.60	-56 07 49.70	3.559e-15	3.076e-15	4.041e-15	1.896e-15	1.275e-15	2.484e-15
     74	    71.57	 2CXO J065837.2-560922	 06 58 37.27	-56 09 22.45	1.013e-15	6.260e-16	1.399e-15	3.412e-15	1.498e-15	5.326e-15
     74	    79.06	 2CXO J065828.3-560812	 06 58 28.33	-56 08 12.36	1.370e-15	1.055e-15	1.685e-15	1.274e-15	5.733e-16	1.975e-15
     79	    14.16	2CXO J065829.9-555645X	 06 58 29.95	-55 56 45.46	         	         	         	         	         	         
     79	    41.47	 2CXO J065830.7-555739	 06 58 30.79	-55 57 39.96	0.000e+00	0.000e+00	1.183e-16	0.000e+00	0.000e+00	9.013e-17
     79	    66.60	 2CXO J065837.5-555625	 06 58 37.50	-55 56 25.78	4.672e-16	3.358e-16	5.914e-16	2.751e-15	2.475e-15	3.027e-15
     79	    95.20	 2CXO J065823.4-555544	 06 58 23.49	-55 55 44.35	2.484e-16	1.722e-16	3.245e-16	1.546e-15	1.370e-15	1.711e-15
     79	    98.15	 2CXO J065822.2-555807	 06 58 22.26	-55 58 07.32	0.000e+00	0.000e+00	1.383e-16	         	         	         
     83	    20.49	 2CXO J065725.7-554953	 06 57 25.75	-55 49 53.54	6.874e-14	6.692e-14	7.056e-14	1.434e-13	1.397e-13	1.470e-13
