c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc
1,0.89,29.4,1.7058,0.6648,1.6677,1.17e-12,1.4e-13,6.879999999999999e-13,2.5499999999999997e-13,0.0,0,0,0.0,0,0,0,264.398178,-56.575157,8.37,7849,80.7,78.6,2209.2,2221.6,15.2,8.28,2RXS,J173733.8-563404,264.39102,-56.56801,13.48,-13.01498,-33.200540000000004,13.99,10.8,4.006188,0.0702,0.026000000000000002,153.92,1.0,0.595,0.027999999999999997,0.498,69,15.87, 2CXO J173735.7-563402, 17 37 35.75,-56 34 02.95,1.999e-13,1.923e-13,2.075e-13,1.752e-13,1.682e-13,1.821e-13,264.3989583333333,-56.567486111111116,3.751e-13
1,0.7,52.2,0.5972,0.2634,1.1948,2.4299999999999997e-13,8.6e-14,4.0600000000000004e-13,1.0699999999999999e-13,0.7149,0.3153,0.7815,2.11e-13,7.47E-14,2.94E-13,7.73E-14,104.639093,-56.126093000000004,2.82,9961,12.3,10.7,1581.4,1576.1,10.4,6.35,2RXS,J065837.7-560811,104.65744000000001,-56.136390000000006,14.49,-21.28892,-77.49615,21.5,21.48,5.635564,0.0445,0.0117,482.62,0.245,0.19899999999999998,-0.184,0.239,74,12.16, 2CXO J065839.1-560813, 06 58 39.20,-56 08 13.93,5.758e-14,5.511e-14,6.005e-14,1.551e-13,1.493e-13,1.610e-13,104.66333333333333,-56.13720277777778,2.1268e-13
1,0.7,52.2,0.5972,0.2634,1.1948,2.4299999999999997e-13,8.6e-14,4.0600000000000004e-13,1.0699999999999999e-13,0.7149,0.3153,0.7815,2.11e-13,7.47E-14,2.94E-13,7.73E-14,104.639093,-56.126093000000004,2.82,9961,12.3,10.7,1581.4,1576.1,10.4,6.35,2RXS,J065837.7-560811,104.65744000000001,-56.136390000000006,14.49,-21.28892,-77.49615,21.5,21.48,5.635564,0.0445,0.0117,482.62,0.245,0.19899999999999998,-0.184,0.239,74,22.35, 2CXO J065838.5-560749, 06 58 38.60,-56 07 49.70,3.559e-15,3.076e-15,4.041e-15,1.896e-15,1.275e-15,2.484e-15,104.66083333333333,-56.130472222222224,5.455e-15
1,0.41,18.5,2.6278,1.2424,2.2622,5.15e-13,1.15e-13,1.9600000000000002e-13,8.18e-14,0.0,0,0,0.0,0,0,0,104.34273,-55.831008,4.48,9961,25.3,24.2,1533.2,1478.3,12.21,6.42,2RXS,J065723.9-554939,104.34978000000001,-55.82773,20.02,-21.36176,-77.30015,8.19,10.03,4.180397,0.0214,0.0089,468.32,0.777,0.9009999999999999,-1.0,0.615,83,20.49, 2CXO J065725.7-554953, 06 57 25.75,-55 49 53.54,6.874e-14,6.692e-14,7.056e-14,1.434e-13,1.397e-13,1.470e-13,104.35729166666665,-55.83153888888889,2.1214e-13
1,0.51,30.0,1.9991,0.6324,1.8237,6.890000000000001e-13,1.7800000000000002e-13,3.45e-13,6.29e-14,1.8969999999999998,0.6001,1.7149,7.659999999999999e-13,1.98E-13,4.04E-13,7.37E-14,64.053996,-55.787686,3.87,5726,16.9,17.4,517.1,516.0,17.09,1.49,2RXS,J041611.1-554650,64.04628000000001,-55.78058000000001,24.45,-43.68945,-73.69729,35.17,42.45,7.746442999999999,0.0806,0.0147,526.59,-0.039,0.126,-0.062,0.172,84,6.57, 2CXO J041610.3-554648, 04 16 10.35,-55 46 48.67,6.971e-14,6.505e-14,7.438e-14,8.438e-14,7.826e-14,9.050e-14,64.043125,-55.780186111111114,1.5409e-13
1,0.68,20.5,1.486,0.1095,5.4152,7.61e-12,3.5499999999999995e-13,5.12e-12,2.9299999999999996e-13,1.239,0.0913,2.9435,7.97e-12,3.71E-13,6.43E-12,3.67E-13,79.95369000000001,-45.773501,21.46,2670,469.7,577.0,1773.8,1771.4,0.84,4.12,2RXS,J051949.5-454644,79.95629,-45.7789,2.98,-34.63472,-68.54214,862.15,337.0,19.243181,0.6644,0.0379,507.22,0.747,0.031,0.1,0.044000000000000004,137,2.48, 2CXO J051949.7-454643, 05 19 49.75,-45 46 43.85,2.255e-13,2.204e-13,2.307e-13,2.350e-13,2.295e-13,2.405e-13,79.95729166666666,-45.77884722222222,4.605e-13
1,0.8,33.3,0.7797,0.2069,0.9561,5.9e-13,1.24e-13,7.559999999999999e-13,1.23e-13,0.904,0.2398,0.3846,5.290000000000001e-13,1.11E-13,5.85E-13,9.48E-14,80.19626600000001,-45.685479,4.76,2670,26.5,33.7,1278.2,1221.7,12.28,3.94,2RXS,J052048.9-454134,80.20392,-45.69304,6.78,-34.45508,-68.49014,78.02,48.8,7.907628999999999,0.1002,0.0162,487.13,0.11,0.139,0.20600000000000002,0.16899999999999998,138,6.42, 2CXO J052049.3-454130, 05 20 49.36,-45 41 30.24,2.159e-13,2.100e-13,2.219e-13,5.236e-13,5.127e-13,5.345e-13,80.20566666666666,-45.69173333333333,7.395e-13
1,0.82,25.7,0.6618,0.1199,2.2129,1.07e-12,1.3900000000000001e-13,1.6200000000000002e-12,2.05e-13,0.7256,0.1314,1.7407,8.97e-13,1.16E-13,1.24E-12,1.56E-13,347.672568,-43.788034,7.71,435,66.3,85.4,1322.9,1231.7,23.75,1.57,2RXS,J231042.4-434740,347.67679,-43.79448,9.56,-63.757830000000006,-35.00757,133.3,71.1,8.989635,0.368,0.0465,193.22,-0.348,0.09699999999999999,-0.20600000000000002,0.177,157,12.94, 2CXO J231043.6-434741, 23 10 43.61,-43 47 41.99,5.498e-16,0.000e+00,1.067e-15,2.048e-15,9.699e-16,3.071e-15,347.6817083333333,-43.79499722222222,2.5978e-15
1,0.41,14.2,1.4724,0.7228,0.9295,3.18e-13,3.88e-14,2.1600000000000004e-13,1.0300000000000002e-13,0.0,0,0,0.0,0,0,0,349.606682,-42.374603,8.21,6385,86.5,106.7,6247.1,6236.8,25.31,1.93,2RXS,J231826.6-422236,349.61118,-42.37675,17.85,-65.70096,-34.4298,7.28,7.46,3.547668,0.043,0.0205,173.34,1.0,0.40399999999999997,-0.504,0.263,166,11.85, 2CXO J231827.2-422226, 23 18 27.30,-42 22 26.60,7.880e-16,2.702e-16,1.283e-15,8.156e-16,3.375e-16,1.294e-15,349.61375,-42.37405555555556,1.6035999999999999e-15
1,0.41,14.2,1.4724,0.7228,0.9295,3.18e-13,3.88e-14,2.1600000000000004e-13,1.0300000000000002e-13,0.0,0,0,0.0,0,0,0,349.606682,-42.374603,8.21,6385,86.5,106.7,6247.1,6236.8,25.31,1.93,2RXS,J231826.6-422236,349.61118,-42.37675,17.85,-65.70096,-34.4298,7.28,7.46,3.547668,0.043,0.0205,173.34,1.0,0.40399999999999997,-0.504,0.263,166,24.86, 2CXO J231824.6-422247, 23 18 24.67,-42 22 47.32,2.917e-15,1.419e-15,4.337e-15,1.067e-15,4.001e-16,1.734e-15,349.60279166666663,-42.37981111111111,3.984e-15
