c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc,rass_csc_flux_ratio
1,1.07,34.4,1.5237,0.5097,1.4369999999999998,3.9200000000000005e-13,4.94e-14,2.58e-13,7.98e-14,0.0,0,0,0.0,0,0,0,19.716048,-0.994022,7.95,8459,82.6,114.7,5878.0,5961.8,9.46,3.66,2RXS,J011852.4-010011,19.71859,-1.0032299999999998,11.94,-63.058240000000005,-8.641630000000001,18.54,15.13,4.690023,0.0354,0.011000000000000001,427.81,1.0,0.376,0.153,0.3,783,17.74, 2CXO J011853.6-010007, 01 18 53.61,-01 00 07.32,6.218e-15,5.264e-15,7.171e-15,1.237e-14,1.114e-14,1.360e-14,19.723375,-1.0020333333333333,1.8588e-14,13.879922530664945
1,1.1,64.8,0.3696,0.1742,1.7009,1.02e-13,3.19e-14,2.7600000000000004e-13,9.7e-14,0.2739,0.1291,2.0036,1.02e-13,3.19E-14,3.71E-13,1.31E-13,350.052697,8.130327000000001,3.19,2598,28.5,35.6,8399.3,8476.1,5.66,5.04,2RXS,J232010.7+080651,350.04458999999997,8.114230000000001,25.54,-48.39895,11.395489999999999,11.56,13.29,4.679085,0.0328,0.0115,405.55,1.0,0.146,0.044000000000000004,0.162,1077,38.34, 2CXO J232010.8+080729, 23 20 10.85,+08 07 29.51,1.206e-15,7.638e-16,1.628e-15,6.993e-16,3.958e-16,9.895e-16,350.0452083333333,8.124863888888889,1.9053e-15,144.85907731065976
1,0.6,45.9,1.0094,0.6008,0.0157,2.0300000000000002e-13,7.96e-14,2.01e-13,9.01e-14,0.0,0,0,0.0,0,0,0,345.729201,8.660245,2.55,1977,9.5,7.2,1404.4,1431.9,14.01,5.04,2RXS,J230257.4+083909,345.73947000000004,8.65254,22.11,-45.60426,13.5856,7.17,9.01,4.034888,0.0239,0.0107,376.66,0.5,0.325,0.599,0.3,1086,28.71, 2CXO J230256.1+083848, 23 02 56.10,+08 38 48.89,2.796e-15,2.355e-15,3.237e-15,2.848e-15,2.357e-15,3.339e-15,345.73375,8.64691388888889,5.644e-15,35.613040396881644
1,0.53,28.6,0.1977,0.0525,9.6136,1.01e-12,2.6e-13,5.12e-12,3.3899999999999997e-13,0.163,0.0433,10.686,1e-12,2.57E-13,6.14E-12,4.06E-13,356.25158500000003,9.205528999999999,3.89,538,19.8,27.5,597.0,620.5,30.03,5.55,2RXS,J234458.4+091214,356.24371,9.20392,11.82,-50.256440000000005,9.93172,283.21,256.17,16.95541,0.5875,0.0389,436.07,0.867,0.028999999999999998,0.447,0.051,1110,22.73, 2CXO J234459.4+091155, 23 44 59.40,+09 11 55.85,1.573e-15,5.551e-16,2.544e-15,3.006e-15,1.464e-15,4.470e-15,356.2475,9.198847222222222,4.579e-15,1118.1480672635948
1,0.27,8.5,1.1479,0.0875,1.8168,1.4400000000000002e-11,7.32e-13,1.25e-11,7.120000000000001e-13,1.026,0.0782,0.3376,1.33e-11,6.79E-13,1.30E-11,7.38E-13,63.353722999999995,10.466336,19.66,7433,406.8,553.6,916.5,873.4,15.39,15.08,2RXS,J041325.4+102758,63.35611,10.46622,8.45,-28.28715,-10.542,610.83,330.68,18.758116,1.1817,0.067,279.83,0.9520000000000001,0.017,0.584,0.037000000000000005,1158,5.52, 2CXO J041325.1+102800, 04 13 25.12,+10 28 00.33,1.326e-15,2.566e-16,2.395e-15,1.997e-15,1.146e-15,2.847e-15,63.35466666666667,10.466758333333333,3.3229999999999998e-15,3761.6611495636475
1,1.02,35.7,0.5181,0.091,3.6503,1.0199999999999999e-12,1.3900000000000001e-13,1.98e-12,2.2100000000000002e-13,0.4201,0.0738,4.6229,1.1100000000000001e-12,1.50E-13,2.64E-12,2.95E-13,137.268452,10.992008,7.38,4959,70.0,87.4,1897.9,1885.8,27.53,3.59,2RXS,J090906.7+105940,137.27823,10.994489999999999,18.19,35.50581,-5.1599900000000005,80.52,99.56,11.129721,0.2743,0.0307,362.99,0.7390000000000001,0.07,0.152,0.09300000000000001,1178,33.86, 2CXO J090906.5+110013, 09 09 06.52,+11 00 13.81,8.737e-16,3.549e-16,1.392e-15,5.868e-16,1.020e-16,1.071e-15,137.27716666666666,11.003836111111111,1.4605e-15,1355.7001027045533
1,1.38,76.0,0.7875,0.3548,0.518,3e-13,9.06e-14,3.81e-13,1.2700000000000001e-13,0.0,0,0,0.0,0,0,0,246.30920099999997,15.756746,3.31,4115,15.9,16.0,1544.8,1517.2,27.17,4.37,2RXS,J162511.5+154418,246.29823,15.73848,14.23,39.342690000000005,36.82938,12.35,14.07,4.702087000000001,0.0481,0.0161,292.58,1.0,2.292,1.0,1.1640000000000001,1320,27.52, 2CXO J162512.4+154443, 16 25 12.43,+15 44 43.11,7.465e-16,4.019e-16,1.091e-15,5.087e-16,1.060e-16,9.115e-16,246.30179166666665,15.745308333333332,1.2552e-15,303.53728489483746
1,0.78,27.2,0.9612,0.2825,0.1325,5.4e-13,5.42e-14,5.62e-13,1.55e-13,0.867,0.2548,0.4593,5.589999999999999e-13,5.61E-14,6.45E-13,1.78E-13,4.639228,16.448359,9.97,6834,115.4,164.7,6122.0,6042.0,29.48,4.06,2RXS,J001831.9+162636,4.63324,16.44346,17.78,-45.70319,13.23195,21.56,18.65,5.152769,0.0734,0.0203,254.2,0.607,0.154,0.172,0.183,1359,27.14, 2CXO J001833.5+162651, 00 18 33.55,+16 26 51.37,1.575e-15,1.136e-15,1.988e-15,9.121e-16,5.770e-16,1.247e-15,4.639791666666666,16.447602777777778,2.4870999999999997e-15,225.96598447991641
1,0.85,63.2,0.6009,0.2738,1.1321,3.2799999999999997e-13,1.1900000000000002e-13,5.47e-13,1.52e-13,0.5123,0.2334,1.4609,3.4700000000000004e-13,1.25E-13,6.77E-13,1.88E-13,3.8919599999999996,17.327824,2.77,5361,10.0,10.5,864.0,867.6,27.97,3.9,2RXS,J001530.1+172008,3.8755800000000002,17.33578,11.36,-44.68998,14.34255,25.75,17.11,4.755368,0.0727,0.0202,235.2,0.688,0.198,-0.245,0.23399999999999999,1404,16.8, 2CXO J001529.9+172025, 00 15 29.92,+17 20 25.31,1.004e-15,2.411e-16,1.768e-15,2.037e-15,7.407e-16,3.272e-15,3.8746666666666663,17.340363888888888,3.0410000000000003e-15,179.87504110489968
1,0.29,21.5,0.0489,0.0169,14.324000000000002,1.2700000000000001e-13,4.32e-14,2.6000000000000002e-12,1.67e-13,0.0443,0.0153,14.4727,1.09e-14,3.70E-15,2.46E-13,1.58E-14,205.545954,28.386018,2.94,6442,13.8,16.2,2106.1,2008.7,0.38,1.14,2RXS,J134210.4+282249,205.54367,28.3804,5.15,78.71072,35.94488,608.95,264.55,17.007058999999998,0.7076,0.0455,373.89,-0.9740000000000001,0.018000000000000002,-1.0,0.765,1784,9.48, 2CXO J134209.7+282247, 13 42 09.77,+28 22 47.80,8.091e-14,7.429e-14,8.753e-14,8.153e-14,7.529e-14,8.738e-14,205.5407083333333,28.379944444444444,1.6244000000000001e-13,16.00590987441517
