c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc
1,0.41,14.2,1.4724,0.7228,0.9295,3.18e-13,3.88e-14,2.1600000000000004e-13,1.0300000000000002e-13,0.0,0,0,0.0,0,0,0,349.606682,-42.374603,8.21,6385,86.5,106.7,6247.1,6236.8,25.31,1.93,2RXS,J231826.6-422236,349.61118,-42.37675,17.85,-65.70096,-34.4298,7.28,7.46,3.547668,0.043,0.0205,173.34,1.0,0.40399999999999997,-0.504,0.263,166,11.85, 2CXO J231827.2-422226, 23 18 27.30,-42 22 26.60,7.880e-16,2.702e-16,1.283e-15,8.156e-16,3.375e-16,1.294e-15,349.61375,-42.37405555555556,1.6035999999999999e-15
1,0.41,14.2,1.4724,0.7228,0.9295,3.18e-13,3.88e-14,2.1600000000000004e-13,1.0300000000000002e-13,0.0,0,0,0.0,0,0,0,349.606682,-42.374603,8.21,6385,86.5,106.7,6247.1,6236.8,25.31,1.93,2RXS,J231826.6-422236,349.61118,-42.37675,17.85,-65.70096,-34.4298,7.28,7.46,3.547668,0.043,0.0205,173.34,1.0,0.40399999999999997,-0.504,0.263,166,24.86, 2CXO J231824.6-422247, 23 18 24.67,-42 22 47.32,2.917e-15,1.419e-15,4.337e-15,1.067e-15,4.001e-16,1.734e-15,349.60279166666663,-42.37981111111111,3.984e-15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,6.86, 2CXO J225710.0-362728, 22 57 10.03,-36 27 28.57,2.877e-16,1.247e-16,4.411e-16,3.678e-16,2.014e-16,5.341e-16,344.2917916666666,-36.45793611111112,6.555e-16
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,7.52, 2CXO J225710.3-362728, 22 57 10.35,-36 27 28.84,5.767e-16,3.295e-16,8.121e-16,3.170e-16,1.457e-16,4.798e-16,344.2931249999999,-36.45801111111111,8.937e-16
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,8.35, 2CXO J225709.3-362737, 22 57 09.37,-36 27 37.16,3.805e-16,1.951e-16,5.658e-16,2.090e-16,6.485e-17,3.531e-16,344.2890416666666,-36.460322222222224,5.895e-16
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,8.54, 2CXO J225710.3-362743, 22 57 10.35,-36 27 43.14,3.223e-15,2.642e-15,3.803e-15,3.425e-15,2.844e-15,3.972e-15,344.2931249999999,-36.461983333333336,6.648e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,11.0, 2CXO J225710.6-362744, 22 57 10.61,-36 27 44.12,1.689e-13,1.648e-13,1.727e-13,1.363e-13,1.332e-13,1.393e-13,344.2942083333333,-36.46225555555556,3.052e-13
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,13.62, 2CXO J225710.8-362744, 22 57 10.87,-36 27 44.76,3.626e-15,3.015e-15,4.237e-15,4.181e-15,3.560e-15,4.766e-15,344.2952916666666,-36.46243333333334,7.807000000000001e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,14.82, 2CXO J225710.1-362750, 22 57 10.12,-36 27 50.22,1.094e-15,7.423e-16,1.426e-15,7.843e-16,4.774e-16,1.091e-15,344.2921666666666,-36.463950000000004,1.8783e-15
