c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc,rass_csc_flux_ratio
1,0.82,25.7,0.6618,0.1199,2.2129,1.07e-12,1.3900000000000001e-13,1.6200000000000002e-12,2.05e-13,0.7256,0.1314,1.7407,8.97e-13,1.16E-13,1.24E-12,1.56E-13,347.672568,-43.788034,7.71,435,66.3,85.4,1322.9,1231.7,23.75,1.57,2RXS,J231042.4-434740,347.67679,-43.79448,9.56,-63.757830000000006,-35.00757,133.3,71.1,8.989635,0.368,0.0465,193.22,-0.348,0.09699999999999999,-0.20600000000000002,0.177,157,12.94, 2CXO J231043.6-434741, 23 10 43.61,-43 47 41.99,5.498e-16,0.000e+00,1.067e-15,2.048e-15,9.699e-16,3.071e-15,347.6817083333333,-43.79499722222222,2.5978e-15,623.6045884979599
1,1.15,37.3,2.4754,0.5486,6.1945,2.0399999999999998e-12,7.85e-14,8.229999999999999e-13,1.8000000000000002e-13,2.9482,0.6534,7.918,1.4999999999999999e-12,5.80E-14,5.10E-13,1.11E-13,349.787578,-42.108238,25.95,6385,710.2,893.4,8097.2,8340.0,9.28,1.99,2RXS,J231906.6-420656,349.7778,-42.115629999999996,12.58,-65.94189,-34.258340000000004,43.06,25.07,5.471368,0.1607,0.0351,156.0,-0.384,0.17,0.491,0.31,167,11.57, 2CXO J231905.9-420648, 23 19 05.90,-42 06 48.45,2.373e-13,2.297e-13,2.450e-13,5.562e-13,5.391e-13,5.734e-13,349.7745833333333,-42.113458333333334,7.935e-13,1.0371770636420918
1,0.79,33.4,0.9359,0.2463,0.251,8.149999999999999e-13,1.4599999999999998e-13,8.71e-13,1.6800000000000002e-13,1.0088,0.2655,0.0335,7.46e-13,1.33E-13,7.40E-13,1.43E-13,1.4560629999999999,-41.755703000000004,5.6,4247,34.5,43.8,946.1,911.3,15.46,1.78,2RXS,J000552.4-414520,1.46851,-41.75557,10.09,-72.6519,-38.21439,55.26,32.69,6.31754,0.1826,0.0353,179.02,-0.21600000000000003,0.15,-0.096,0.242,172,8.55, 2CXO J000552.6-414511, 00 05 52.64,-41 45 11.78,8.896e-14,8.021e-14,9.770e-14,7.907e-13,7.669e-13,8.145e-13,1.469333333333333,-41.75327222222222,8.796599999999999e-13,0.9901552872700817
1,0.24,10.3,1.0858,0.3728,0.2407,2.9600000000000005e-13,6.64e-14,2.7300000000000005e-13,7.1e-14,0.0,0,0,0.0,0,0,0,17.864124,-38.083328,4.46,2663,24.8,32.6,1864.5,1899.5,3.48,1.76,2RXS,J011127.8-380508,17.86617,-38.0857,11.73,-78.26402,-41.452,23.12,22.09,5.7447989999999995,0.0576,0.015,383.49,0.375,0.233,0.341,0.248,199,8.58, 2CXO J011127.6-380500, 01 11 27.63,-38 05 00.47,7.074e-14,6.430e-14,7.678e-14,1.930e-13,1.836e-13,2.024e-13,17.865125,-38.08346388888889,2.6374e-13,1.0351103359369078
1,0.75,24.8,1.5217,0.442,1.5698,1.07e-12,1.51e-13,7.049999999999999e-13,1.7899999999999997e-13,1.4278,0.4147,1.3206,1.01e-12,1.42E-13,7.06E-13,1.79E-13,285.507002,-37.125324,7.1,4512,56.3,64.7,1679.9,1683.6,15.09,7.93,2RXS,J190203.1-370748,285.51333999999997,-37.13001,13.89,-17.9446,-14.37306,28.0,18.62,4.729561,0.0726,0.0184,256.41,0.755,0.185,0.672,0.18,208,15.54, 2CXO J190201.9-370743, 19 02 01.96,-37 07 43.49,2.336e-13,2.242e-13,2.430e-13,7.387e-13,7.185e-13,7.590e-13,285.5081666666666,-37.12874722222222,9.723e-13,0.7250848503548287
1,1.15,37.0,1.0546,0.3082,0.1843,5.320000000000001e-13,7.44e-14,5.04e-13,1.29e-13,1.1535,0.3371,0.5065,4.33e-13,6.06E-14,3.76E-13,9.64E-14,53.310339,-36.323652,7.15,3059,58.1,74.1,2296.6,2300.7,12.76,1.48,2RXS,J033311.8-361943,53.2993,-36.32881,11.44,-54.66976999999999,-53.17491,26.7,20.6,5.286139,0.1185,0.0304,173.82,-0.385,0.179,1.0,0.19699999999999998,221,5.13, 2CXO J033312.2-361946, 03 33 12.21,-36 19 46.11,3.816e-13,3.676e-13,3.955e-13,6.600e-13,6.381e-13,6.820e-13,53.30087499999999,-36.329475,1.0416e-12,0.4838709677419355
1,0.78,23.8,8.2398,1.6236,9.067,5.31e-12,5.030000000000001e-13,6.45e-13,1.1100000000000001e-13,6.0327,1.1887,8.4394,6.730000000000001e-12,6.37E-13,1.12E-12,1.93E-13,20.968956,-35.067289,10.57,439,113.4,121.9,503.5,524.7,19.47,2.09,2RXS,J012354.4-350403,20.97704,-35.06753,6.76,-79.45636999999999,-40.06707,70.51,44.49,7.689678999999999,0.1222,0.0211,364.08,0.66,0.12300000000000001,0.6709999999999999,0.105,232,7.61, 2CXO J012354.3-350355, 01 23 54.38,-35 03 55.62,7.355e-14,6.631e-14,8.037e-14,7.342e-15,5.478e-15,9.207e-15,20.97658333333333,-35.06545,8.0892e-14,7.973594422192552
1,0.8,24.7,1.591,0.4108,1.9333,1.47e-12,1.9399999999999998e-13,9.220000000000001e-13,2.04e-13,1.62,0.4183,2.0108,1.36e-12,1.79E-13,8.37E-13,1.85E-13,224.58640099999997,-31.664069,7.56,2949,62.8,66.5,1381.8,1402.9,12.54,8.89,2RXS,J145821.8-314010,224.59099999999998,-31.669690000000003,7.86,23.88083,-14.12429,39.01,28.01,6.2104919999999995,0.0927,0.0205,302.23,0.644,0.14,0.207,0.175,250,3.23, 2CXO J145821.9-314007, 14 58 21.92,-31 40 07.81,5.940e-14,5.386e-14,6.493e-14,2.462e-13,2.346e-13,2.570e-13,224.59133333333332,-31.668836111111112,3.0560000000000003e-13,3.0170157068062826
1,0.81,25.2,1.3702,0.2368,2.0776,6.8e-13,3.14e-14,4.96e-13,8.26e-14,0.8842,0.1528,0.6751,8.729999999999999e-13,4.03E-14,9.87E-13,1.64E-13,84.977007,-28.658599,21.67,3720,528.5,618.8,18263.0,17585.3,13.52,2.06,2RXS,J053954.4-283956,84.97697,-28.66559,7.35,-27.291729999999998,-51.98002,66.71,49.47,8.240293,0.0948,0.0158,521.71,0.861,0.113,0.017,0.11800000000000001,282,2.52, 2CXO J053954.2-283956, 05 39 54.28,-28 39 56.12,2.173e-13,2.101e-13,2.240e-13,2.102e-13,2.020e-13,2.184e-13,84.97616666666667,-28.665588888888887,4.275e-13,1.160233918128655
1,1.16,65.5,0.3399,0.1679,1.6113,3.72e-14,1.09e-14,1.09e-13,4.35e-14,0.0,0,0,0.0,0,0,0,84.70359300000001,-28.648591999999997,3.41,3720,35.5,54.2,22372.0,22854.6,4.9,2.05,2RXS,J053844.0-283909,84.68337,-28.65261,19.46,-27.53342,-51.95208,7.24,10.93,4.342893,0.021,0.0083,520.75,0.6890000000000001,2.219,1.0,1.117,284,30.12, 2CXO J053845.2-283934, 05 38 45.23,-28 39 34.91,2.399e-15,1.287e-15,3.510e-15,5.548e-15,3.531e-15,7.440e-15,84.68845833333332,-28.65969722222222,7.947e-15,13.71586762300239
